"respondent_id","question_id","respondent_question_id","alternative_id","choice","price","gram","kcal","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","is_bundle","is_premium","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","total_recalled","total_recognized","avg_price_guess_diff","norm_total_recalled","norm_total_recognized","norm_avg_price_guess_diff","price_accuracy_score","market_awareness","city_50_500","city_over_500","rural_or_small_city","is_female","is_graduated","income_low","income_mid","income_high","eats_fastfood_weekly","eats_fastfood_rarely","log_age","log_total_recalled","log_total_recognized","log_avg_price_guess_diff","log_price","norm_age","norm_kcal","norm_gram","norm_price","income_aware_enthusiasts","low_awareness_explorers","low_income_youngsters","average_aware_consumers"
2,1,"2_1",1,0,35,300,800,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.58351893845611,0.352941176470588,0.8,0.714285714285714,1,0,0,1,0
2,1,"2_1",2,1,20,300,600,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.04452243772342,0.352941176470588,0.6,0.714285714285714,0.571428571428571,0,0,1,0
2,1,"2_1",3,0,20,340,800,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.04452243772342,0.352941176470588,0.8,0.80952380952381,0.571428571428571,0,0,1,0
2,1,"2_1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,0,0.352941176470588,0,0,0,0,0,1,0
2,2,"2_2",1,1,12,260,800,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,2.56494935746154,0.352941176470588,0.8,0.619047619047619,0.342857142857143,0,0,1,0
2,2,"2_2",2,0,30,300,800,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.43398720448515,0.352941176470588,0.8,0.714285714285714,0.857142857142857,0,0,1,0
2,2,"2_2",3,0,35,380,500,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.58351893845611,0.352941176470588,0.5,0.904761904761905,1,0,0,1,0
2,2,"2_2",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,0,0.352941176470588,0,0,0,0,0,1,0
2,3,"2_3",1,1,25,420,400,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,3.25809653802148,0.352941176470588,0.4,1,0.714285714285714,0,0,1,0
2,3,"2_3",2,0,17,220,1000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,24,4,8,6.23,0.1875,1,0.585562477097838,0.414437522902162,0.533979174300721,0,0,1,1,1,1,0,0,0,1,3.2188758248682,1.6094379124341,2.19722457733622,1.97823903617067,2.89037175789616,0.352941176470588,1,0.523809523809524,0.485714285714286,0,0,1,0
