"respondent_id","question_id","alternative_id","choice","price","gram","kcal","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","is_bundle","is_premium","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","total_recalled","total_recognized","avg_price_guess_diff","respondent_question_id","city_50_500","city_over_500","rural_or_small_city","is_female","is_graduated","income_low","income_mid","income_high","eats_fastfood_weekly","eats_fastfood_rarely","log_age","log_total_recalled","log_total_recognized","log_avg_price_guess_diff","log_price"
2001,1,1,0,29,285,415,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,7,8,8.23,"2001_1",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.40119738166216
2001,1,2,1,27,250,598,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,7,8,8.23,"2001_1",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.3322045101752
2001,1,3,0,23,190,1060,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,7,8,8.23,"2001_1",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.17805383034795
2001,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,7,8,8.23,"2001_1",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,0
2001,2,1,0,23,243,452,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,7,8,8.23,"2001_2",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.17805383034795
2001,2,2,0,29,413,616,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,7,8,8.23,"2001_2",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.40119738166216
2001,2,3,0,37,326,737,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,7,8,8.23,"2001_2",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.63758615972639
2001,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,7,8,8.23,"2001_2",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,0
2001,3,1,0,29,241,458,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,7,8,8.23,"2001_3",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.40119738166216
2001,3,2,1,37,196,562,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,7,8,8.23,"2001_3",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.63758615972639
2001,3,3,0,27,203,627,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,7,8,8.23,"2001_3",0,0,1,1,0,1,0,0,1,0,3.2188758248682,2.07944154167984,2.19722457733622,2.22245904851476,3.3322045101752
