"brand.recall","count"
"mcdonalds",139
"kfc",134
"burgerking",114
"subway",75
"pizzahut",49
"popeyes",47
"maxburgers",43
"tacobell",41
"wendys",39
"dominospizza",27
"northfish",25
"pasibus",14
"kebabking",13
"fiveguys",12
"chipotle",9
"saladstory",9
"innout",8
"dagrasso",5
"dunkindonuts",4
"thaiwok",4
"donerkebab",3
"telepizza",3
"bobbyburger",2
"pandaexpress",2
"shakeshack",2
"wrapme",2
"zahirkebab",2
"chickfila",1
"hesburger",1
"jollibee",1
"loteria",1
"panerabread",1
"papajohns",1
"raisingcanes",1
"silverdragon",1
"whitecastle",1
