"respondent_id","brand.recall","brand.recognition"
396,"mcdonalds; kfc; burgerking; maxburgers; subway; northfish","kfc; mcdonalds; subway; tacobell; wendys"
354,"mcdonalds; kfc; burgerking; popeyes","kfc; burgerking; mcdonalds; subway; wendys"
200,"mcdonalds; kfc; zahirkebab; burgerking","kfc; burgerking; mcdonalds; subway; wendys"
302,"mcdonalds; kfc; maxburgers; popeyes; tacobell; wingstop; raisingcanes; fiveguys; wendys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
391,"mcdonalds; kfc; burgerking; maxburgers; popeyes; subway; pizzahut; tacobell; wendys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
47,"kfc; maxburgers; mcdonalds","kfc; mcdonalds; subway; maxburgers"
280,"mcdonalds; kfc; burgerking; tacobell; popeyes; subway; wendys; maxburgers; dunkindonuts; innout; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
45,"mcdonalds; kfc; subway","kfc; mcdonalds; subway; tacobell; wendys; popeyes"
270,"mcdonalds; kfc; wendys; popeyes; maxburgers; northfish; subway","kfc; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
265,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway"
375,"kfc; mcdonalds; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; popeyes"
486,"mcdonalds; kfc; burgerking; subway; pizzahut","kfc; burgerking; mcdonalds; subway; wendys"
114,"mcdonalds; kfc; burgerking; donerkebab; pizzahut; wendys; tacobell; dominospizza; dagrasso","kfc; burgerking; mcdonalds; subway; tacobell; wendys"
239,"mcdonalds","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
230,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway"
207,"mcdonalds; kfc; burgerking; subway; pizzahut; dominospizza; wendys; tacobell; dunkindonuts; northfish","kfc; mcdonalds; subway"
461,"mcdonalds; kfc; burgerking; wendys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
226,"mcdonalds; kfc; pizzahut; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; maxburgers"
133,"mcdonalds; kfc; burgerking; pizzahut; wendys; popeyes; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
173,"kfc; mcdonalds; burgerking; maxburgers; northfish; tacobell; pizzahut","kfc; burgerking; mcdonalds; subway; tacobell; maxburgers"
259,"mcdonalds; kfc; burgerking","kfc; mcdonalds; subway"
143,"mcdonalds; kfc; burgerking; popeyes; wendys; maxburgers","kfc; burgerking; mcdonalds; subway; wendys; maxburgers; popeyes"
420,"kfc; mcdonalds; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; maxburgers"
65,"mcdonalds; kfc; burgerking","kfc; mcdonalds; subway"
206,"mcdonalds; kfc; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
116,"mcdonalds; burgerking; kfc; subway; popeyes; pasibus","kfc; burgerking; mcdonalds; subway; tacobell; popeyes"
224,"mcdonalds; kfc; wendys; fiveguys; popeyes; burgerking; papajohns; pizzahut; subway; dominospizza","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
9,"mcdonalds; kfc; wendys; pizzahut; dominospizza; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
414,"mcdonalds; kfc; burgerking; wendys; pizzahut; maxburgers; popeyes; tacobell; fiveguys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
36,"mcdonalds; kfc; maxburgers; subway; wendys; chipotle; popeyes; burgerking; innout; wingstop; fiveguys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
139,"mcdonalds; kfc; pizzahut; burgerking","kfc; burgerking; mcdonalds; subway; wendys; maxburgers"
297,"mcdonalds; kfc; subway; pizzahut","kfc; burgerking; mcdonalds; subway"
308,"mcdonalds; kfc; burgerking; popeyes; wendys; raisingcanes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
311,"mcdonalds; kfc; popeyes; burgerking; kebabking; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
336,"mcdonalds; kfc","kfc; mcdonalds"
58,"mcdonalds; kfc; burgerking; subway; northfish; wendys; maxburgers; chipotle; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
