"respondent_id","brand.recall","brand.recognition"
21,"mcdonalds; burgerking; popeyes; kfc; subway; maxburgers; wendys; tacobell; fiveguys; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
56,"kfc; mcdonalds; burgerking","kfc; burgerking; mcdonalds; subway"
3,"mcdonalds; subway; kfc; burgerking","kfc; mcdonalds; subway"
151,"mcdonalds; kfc; subway; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; maxburgers; popeyes"
98,"kfc; mcdonalds; subway; burgerking; wendys; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
89,"mcdonalds; kfc; popeyes; maxburgers; pizzahut; burgerking; northfish; bobbyburger; wendys; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
165,"mcdonalds; kfc; subway; thaiwok; northfish; silverdragon; burgerking; maxburgers; pasibus; popeyes; tacobell; pizzahut; dominospizza; papajohns","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
18,"mcdonalds; kfc; burgerking; maxburgers; wendys; 5guys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
134,"mcdonalds; burgerking; wendys; kfc; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
185,"mcdonalds; kfc; burgerking; northfish","kfc; burgerking; mcdonalds; subway; maxburgers"
191,"mcdonalds; kfc; burgerking; popeyes; pizzahut; telepizza; dominospizza","kfc; burgerking; mcdonalds; subway; maxburgers; popeyes"
163,"mcdonalds; maxburgers; subway; kfc; dunkindonuts; thaiwok; fiveguys; chuckecheese; chipotle; saladstory","kfc; burgerking; mcdonalds; subway; wendys; maxburgers"
23,"mcdonalds; kfc; maxburgers; northfish; burgerking","kfc; burgerking; mcdonalds; subway; maxburgers"
85,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; maxburgers"
195,"popeyes; mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; wendys"
187,"mcdonalds; kfc; maxburgers; popeyes; subway; burgerking; thaiwok; fiveguys; innout","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
47,"mcdonalds; kfc; burgerking; popeyes; tacobell; subway","kfc; popeyes; mcdonalds; subway; tacobell; wendys; maxburgers"
4,"mcdonalds; kfc; wendys; maxburgers; popeyes; tacobell; burgerking; pizzahut; dominospizza","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
2,"mcdonalds; kfc; burgerking; subway; popeyes; wendys; chipotle; kebabking; thaiwok; northfish; saladstory; pasibus","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
68,"mcdonalds; subway; kfc; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
118,"kfc; mcdonalds; burgerking; subway","kfc; burgerking; mcdonalds; subway"
178,"mcdonalds; burgerking; kfc; popeyes; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
