"respondent_id","question_id","choice","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","no_choice","past.use_this","brand.recall_this","brand.recognition_this","brand.recall_score","age","market_awareness","total_recalled","total_recognized","total_price_guess_diff","city_under_500k","city_over_500k","rural","is_female","is_graduated","income_low","income_mid","income_high","eats_fastfood_weekly","eats_fastfood_rarely","respondent_question_id"
1,1,0,29,0,0,1,0,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_1"
1,1,1,27,0,0,0,1,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_1"
1,1,0,23,0,0,1,0,1,0,0,0,1,0,1,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_1"
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_1"
1,2,0,23,0,0,1,0,1,0,0,0,1,0,1,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_2"
1,2,0,29,0,0,1,0,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_2"
1,2,0,37,0,0,0,1,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_2"
1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_2"
1,3,0,29,0,0,1,0,0,0,0,1,0,0,0,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_3"
1,3,1,37,0,0,0,1,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_3"
1,3,0,27,0,0,0,1,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_3"
1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_3"
1,4,1,27,0,0,0,1,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_4"
1,4,0,23,0,0,1,0,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_4"
1,4,0,29,0,0,1,0,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_4"
1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_4"
1,5,0,37,0,0,0,1,0,1,0,0,1,0,0,1,1,3,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_5"
1,5,0,29,0,0,1,0,0,0,0,1,0,0,0,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_5"
1,5,1,23,0,0,1,0,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_5"
1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_5"
1,6,0,23,0,0,1,0,0,0,1,0,0,0,0,0,1,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_6"
1,6,0,23,0,0,1,0,1,0,0,0,1,0,1,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_6"
1,6,0,29,0,0,1,0,0,0,0,1,0,0,0,1,1,5,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_6"
1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,10,7,8,24.69,0,0,1,1,0,1,0,0,1,0,"1_6"
